,precision,recall,f1-score,support
alureon,0.2547584187408492,0.7080366225839267,0.3746971736204576,983.0
banjori,1.0,1.0,1.0,983.0
bedep,0.3295668549905838,0.5340793489318413,0.40760869565217395,983.0
ccleaner,0.9859437751004017,0.9989827060020345,0.9924204143506821,983.0
chinad,0.7993197278911565,0.7171922685656155,0.7560321715817695,983.0
corebot,0.9979013641133263,0.9674465920651069,0.9824380165289256,983.0
cryptolocker,0.13636363636363635,0.030518819938962362,0.04987531172069826,983.0
dircrypt,0.20710059171597633,0.28484231943031535,0.23982869379014987,983.0
dyre,0.9919273461150353,1.0,0.9959473150962512,983.0
fobber_v1,0.4405086285195277,0.9867751780264497,0.609105180533752,983.0
fobber_v2,0.15789473684210525,0.0335707019328586,0.05536912751677853,983.0
gozi_gpl,0.7592592592592593,0.9593082400813835,0.8476404494382023,983.0
gozi_luther,0.7761341222879684,0.8006103763987793,0.7881822734101153,983.0
gozi_nasa,0.6492271105826397,0.555442522889115,0.5986842105263158,983.0
gozi_rfc4343,0.5313881520778072,0.6113936927772126,0.5685903500473036,983.0
kraken_v1,0.664745437079731,0.7039674465920651,0.6837944664031621,983.0
kraken_v2,0.33980582524271846,0.07121057985757884,0.11774600504625736,983.0
locky,0.14479638009049775,0.09766022380467955,0.1166464155528554,983.0
matsnu,0.687218045112782,0.9298067141403866,0.79031560743623,983.0
murofet_v1,0.7290566037735849,0.982706002034588,0.8370883882149047,983.0
murofet_v2,0.5259459459459459,0.9898270600203459,0.6869043416872573,983.0
murofet_v3,1.0,0.9908443540183113,0.9954011241696474,983.0
necurs,0.2857142857142857,0.002034587995930824,0.00404040404040404,983.0
nymaim,0.8255659121171771,0.6307222787385555,0.7151095732410611,983.0
padcrypt,0.8364888123924269,0.9888097660223805,0.9062937062937064,983.0
pizd,0.41913875598086126,0.44557477110885046,0.4319526627218935,983.0
proslikefan,0.38585858585858585,0.3886063072227874,0.387227572225038,983.0
pushdo,0.6274328081556997,0.688708036622584,0.6566440349175557,983.0
pykspa,0.24461105904404873,0.26551373346897256,0.2546341463414635,983.0
pykspa_noise,0.3232758620689655,0.0762970498474059,0.12345679012345678,983.0
qadars,0.508411214953271,0.8301119023397762,0.6306027820710974,983.0
qakbot,0.2755102040816326,0.054933875890132246,0.09160305343511449,983.0
ramdo,0.8181026979982594,0.9562563580874873,0.8818011257035647,983.0
ramnit,0.11784511784511785,0.03560528992878942,0.05468749999999999,983.0
ranbyus_v1,0.22123893805309736,0.1271617497456765,0.16149870801033592,983.0
ranbyus_v2,0.2914089347079038,0.4313326551373347,0.3478260869565218,983.0
rovnix,0.7549738219895288,0.7334689725330621,0.7440660474716203,983.0
shiotob,0.4397590361445783,0.07426246185147507,0.12706701479547433,983.0
simda,0.5178282009724473,0.6500508646998983,0.5764546684709067,983.0
sisron,0.9342857142857143,0.9979654120040692,0.9650762420068864,983.0
suppobox_1,0.47619047619047616,0.5798575788402849,0.5229357798165138,983.0
suppobox_2,0.7435633367662204,0.7344862665310274,0.7389969293756397,983.0
suppobox_3,0.9713983050847458,0.9328585961342828,0.9517384535547484,983.0
symmi,0.9596059113300492,0.9908443540183113,0.9749749749749749,983.0
tempedreve,0.3451086956521739,0.12919633774160733,0.18800888230940047,983.0
tinba,0.19574468085106383,0.0935910478128179,0.12663454920853406,983.0
vawtrak_v1,0.9183098591549296,0.9949135300101729,0.955078125,983.0
vawtrak_v2,0.386317907444668,0.7812817904374364,0.5169976438909458,983.0
vawtrak_v3,0.505,0.513733468972533,0.5093292990418558,983.0
zeus-newgoz,0.9857433808553971,0.9847405900305188,0.9852417302798983,983.0
legit,0.8040201005025126,0.32553407934893186,0.46343229543808834,983.0
accuracy,0.5959348133963657,0.5959348133963657,0.5959348133963657,0.5959348133963657
macro avg,0.5730845995694386,0.5959348133963656,0.5585828728243253,50133.0
weighted avg,0.5730845995694387,0.5959348133963657,0.5585828728243253,50133.0
