,alureon,banjori,bedep,ccleaner,chinad,corebot,cryptolocker,dircrypt,dyre,fobber_v1,fobber_v2,gozi_gpl,gozi_luther,gozi_nasa,gozi_rfc4343,kraken_v1,kraken_v2,locky,matsnu,murofet_v1,murofet_v2,murofet_v3,necurs,nymaim,padcrypt,pizd,proslikefan,pushdo,pykspa,pykspa_noise,qadars,qakbot,ramdo,ramnit,ranbyus_v1,ranbyus_v2,rovnix,shiotob,simda,sisron,suppobox_1,suppobox_2,suppobox_3,symmi,tempedreve,tinba,vawtrak_v1,vawtrak_v2,vawtrak_v3,zeus-newgoz,legit
alureon,761,0,4,0,0,0,0,0,0,0,120,0,1,0,0,3,0,0,0,0,0,0,0,0,3,0,0,12,0,0,0,0,0,30,0,0,0,0,0,2,0,0,0,0,0,0,0,10,33,0,4
banjori,0,983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bedep,53,0,792,0,0,0,0,11,0,1,4,0,4,2,0,8,0,0,0,0,0,0,0,0,6,0,0,3,0,0,1,0,1,75,0,2,0,17,0,1,0,0,0,0,0,0,0,0,2,0,0
ccleaner,0,0,0,980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chinad,0,0,5,1,783,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,8,0,0,0,2,0,0,0,0,0,127,5,2,0,1,19,0,9,0,0,0,0,0,0,0,0,0,0,0,14,0
corebot,0,0,0,0,0,961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,1,0
cryptolocker,24,0,88,0,0,0,58,5,0,117,1,6,2,0,0,4,23,12,0,1,123,0,34,0,6,2,0,10,24,9,2,21,38,36,166,146,0,2,7,2,1,0,0,1,10,1,0,0,1,0,0
dircrypt,260,0,501,0,1,0,0,17,0,0,35,0,8,1,0,2,3,0,0,4,0,0,0,0,3,0,0,7,0,0,0,0,1,99,0,9,0,0,0,1,0,0,0,0,0,1,0,7,21,0,2
dyre,0,0,0,0,0,0,0,0,983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fobber_v1,0,0,0,0,0,0,0,0,0,937,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,3,0,0,27,0,0,0,1,0,0,5,4,0,0,0,0,0,0,0
fobber_v2,744,0,2,0,0,0,0,2,0,0,115,0,0,0,0,3,1,0,0,0,0,0,0,0,6,0,0,13,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,24,30,0,3
