,alureon,banjori,bedep,ccleaner,chinad,corebot,cryptolocker,dircrypt,dyre,fobber_v1,fobber_v2,gozi_gpl,gozi_luther,gozi_nasa,gozi_rfc4343,kraken_v1,kraken_v2,locky,matsnu,murofet_v1,murofet_v2,murofet_v3,necurs,nymaim,padcrypt,pizd,proslikefan,pushdo,pykspa,pykspa_noise,qadars,qakbot,ramdo,ramnit,ranbyus_v1,ranbyus_v2,rovnix,shiotob,simda,sisron,suppobox_1,suppobox_2,suppobox_3,symmi,tempedreve,tinba,vawtrak_v1,vawtrak_v2,vawtrak_v3,zeus-newgoz,legit
alureon,3013,0,9,0,0,0,0,65,0,0,1212,0,1,0,0,21,8,0,1,0,0,0,0,0,9,0,0,70,0,0,0,0,0,109,0,0,0,0,3,2,0,0,0,0,0,2,0,279,105,0,6
banjori,0,4915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bedep,356,0,2600,0,5,0,4,913,0,10,152,0,23,2,6,35,16,1,0,0,4,0,13,0,44,0,0,49,0,0,40,1,1,412,2,19,0,135,0,8,0,0,0,0,0,47,0,8,8,0,1
ccleaner,0,0,0,4904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chinad,0,0,19,9,3203,1,0,4,0,64,0,1,0,0,0,0,0,7,0,0,46,0,13,0,17,0,0,0,0,1,1097,6,7,1,6,52,0,328,0,2,0,0,0,0,0,0,0,1,0,30,0
corebot,0,0,0,0,1,4752,0,0,0,22,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,123,0,0,0,0,0,2,0
cryptolocker,125,0,311,0,2,0,206,137,0,610,49,19,9,0,0,50,41,457,0,3,786,0,130,5,35,10,11,85,96,153,11,43,145,148,498,396,0,12,35,23,7,3,1,1,148,98,4,7,4,0,1
dircrypt,1102,0,1630,0,3,0,5,761,0,21,506,0,29,4,8,36,14,0,0,26,5,0,19,0,23,0,0,55,1,0,0,7,5,369,3,40,0,8,1,4,0,0,0,0,0,43,0,128,56,0,3
dyre,0,0,0,0,0,0,0,0,4914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
fobber_v1,0,0,0,0,4,0,2,0,0,4742,0,1,0,0,0,5,0,0,0,0,1,0,2,0,13,2,0,1,1,0,4,3,12,0,0,71,1,5,0,13,0,0,21,10,1,0,0,0,0,0,0
