,precision,recall,f1-score,support
alureon,0.29176716123108826,0.4326180257510729,0.3271226367108861,932.0
banjori,1.0,1.0,1.0,932.0
bedep,0.5443533522294088,0.6203862660944207,0.5729050310465795,932.0
ccleaner,0.9930087106720329,0.9978540772532188,0.9954075139750568,932.0
chinad,0.9516335000017039,0.8841201716738197,0.9143652935974501,932.0
corebot,0.9991349011349012,0.9918454935622318,0.9954766904282772,932.0
cryptolocker,0.4598145669350358,0.3023605150214593,0.35715969069973574,932.0
dircrypt,0.27902223116270325,0.26115879828326183,0.259476751205222,932.0
dyre,0.9995712754555198,1.0,0.9997855227882038,932.0
fobber_v1,0.7994853837477726,0.8791845493562231,0.8318576760138757,932.0
fobber_v2,0.2725551692973592,0.36416309012875536,0.3039537801774318,932.0
gozi_gpl,0.9436718361002953,0.9547210300429183,0.9490656801758725,932.0
gozi_luther,0.8878545302670352,0.7888412017167381,0.8289654523048849,932.0
gozi_nasa,0.6890483618814006,0.8079399141630901,0.7387813555755958,932.0
gozi_rfc4343,0.7120287402930364,0.7083690987124465,0.7077042432018423,932.0
kraken_v1,0.751708229641149,0.7008583690987125,0.7148029213036367,932.0
kraken_v2,0.4557797489185214,0.4023605150214592,0.4160588204582747,932.0
locky,0.3819364623090637,0.31030042918454936,0.33665620912552174,932.0
matsnu,0.9432038299049669,0.93862660944206,0.9403560754364243,932.0
murofet_v1,0.9816817712061466,0.9860515021459226,0.9838209092369974,932.0
murofet_v2,0.8319419322507983,0.9446351931330472,0.8834481266515308,932.0
murofet_v3,1.0,0.9933476394849785,0.996661276389319,932.0
necurs,0.4894125014093434,0.26931330472103004,0.3355522022636944,932.0
nymaim,0.9124940075666134,0.8590128755364805,0.8844588106906727,932.0
padcrypt,0.9828920058127935,0.9832618025751074,0.9829686127205021,932.0
pizd,0.7226137790956881,0.7914163090128755,0.7530258996648985,932.0
proslikefan,0.4785685233450402,0.5510729613733906,0.5111039597543076,932.0
pushdo,0.8534966138000055,0.918884120171674,0.8841817425249694,932.0
pykspa,0.26227344791528967,0.2819742489270386,0.26733977486709964,932.0
pykspa_noise,0.2961097422762554,0.18197424892703865,0.21616745744220806,932.0
qadars,0.9114415335049154,0.8319742489270385,0.8689809893788827,932.0
qakbot,0.6321206673110027,0.39334763948497853,0.47834268134072044,932.0
ramdo,0.96384032816458,0.986480686695279,0.9748350165456936,932.0
ramnit,0.24350921720375668,0.22682403433476397,0.23128579220439324,932.0
ranbyus_v1,0.5258935426473675,0.7002145922746781,0.591821153499171,932.0
ranbyus_v2,0.6231985651674362,0.5572961373390557,0.5729140245908385,932.0
rovnix,0.9427940484925472,0.8774678111587981,0.9087790441386989,932.0
shiotob,0.7683767415412592,0.755793991416309,0.7594499038131358,932.0
simda,0.8056944649506669,0.8300429184549356,0.8113901181928348,932.0
sisron,0.9974272140632131,0.9937768240343348,0.995560369884432,932.0
suppobox_1,0.8009307724550464,0.7564377682403434,0.7735415714822503,932.0
suppobox_2,0.9001444056248094,0.9394849785407725,0.9187276905379349,932.0
suppobox_3,0.9885519230161478,0.9907725321888412,0.9896191056385009,932.0
symmi,0.9931773792036745,0.9989270386266096,0.9960415692283302,932.0
tempedreve,0.39089041031014105,0.4487124463519313,0.41294906946371135,932.0
tinba,0.43427778848955434,0.32660944206008585,0.3526398051008953,932.0
vawtrak_v1,0.9902296722394969,0.9987124463519313,0.9944459931636882,932.0
vawtrak_v2,0.8291123853637267,0.8276824034334764,0.8227974642701087,932.0
vawtrak_v3,0.7528201156760721,0.8819742489270386,0.8094794033713253,932.0
zeus-newgoz,1.0,0.992274678111588,0.9961213833715472,932.0
legit,0.750026788821972,0.6839055793991416,0.7130109421122774,932.0
accuracy,0.7275561726836658,0.7275561726836658,0.7275561726836658,0.7275561726836658
macro avg,0.7335592211785952,0.7275561726836657,0.722771827603144,47532.0
weighted avg,0.7335592211785952,0.7275561726836658,0.722771827603144,47532.0
